start,end,spk,text_user
9010,21030,0,あのすいませんフランス料理屋を都内で探しているんですけどーえっとーそうだなちょと家族の誕生日用に使うんですけどえーと日暮里の近くで何かいいお店あります
35030,42340,0,あえっとですね誕生日ー用で家族のそうですね誕生日で使いたいんですけど
52620,55440,0,えとですね今ー二十三でで家族五人
57190,59340,0,で家族五人で行くんですけ
106440,110300,0,曜日はえと来週の土曜日の夜がいいんですけどの
118260,122060,0,六時以降ーならいつでも空いてる時間大丈夫です
227420,234220,0,はい一駅なんで大丈夫なんですけどあの駅からなるべくー近いところがはい
299090,309810,0,そうですね同じぐらいの時間なんでえーとコースの内容とかーで決めたいんですけど最初のほうのお店っていうのだいたい一コースどのくらいの値段になりますか
330080,334490,0,確しますねはいもう一個のほうーはどのくらいになりますかねーはいんーんーんーはーはーはいーはーはーはーはーはーはーはーはーはーはーはーはいーはーはーはーはーはーはーはーはいはいはいはいはいはいはいはーはーはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいでお願いでします
408780,416440,0,そうできればあの誕生日なのでーあのケーキとかがつくコースとかがいいんです
458980,463260,0,そうですね二個目のお店ーのほうー
498810,501670,0,デザート込みでだいたいーどのくらいー
507860,512020,0,それは行ってから注文する形になるんですかね
516820,520720,0,そうですかじゃあ今予約しちゃいたいんですけどはいはいそうですできればー
531880,537680,0,できればー一人ー五ー千円か六千円に収めたいんですけど
559670,560750,0,あなんかつけーられるんですかねはいお願い
564220,566160,0,お願いします
580800,582840,0,あそれどっちでも大丈夫ですねはいんーはいはいはいお願いしまーすーはいはいーはいんーはあーすいんですはい
617770,619680,0,あそれで来週ーの
653360,657880,0,向こうではい確認する
670930,675600,0,それは特にないーのではい大丈夫だと思います
712350,717030,0,
